pilot_seed,replication_seed,pilot_D_s,replication_D_s,pilot_D_s_renormalized,replication_D_s_renormalized,pilot_D_s_non_renormalized,replication_D_s_non_renormalized,pilot_INTERLEAVED_accuracy_A,replication_INTERLEAVED_accuracy_A,pilot_INTERLEAVED_accuracy_B,replication_INTERLEAVED_accuracy_B,pilot_INTERLEAVED_routing_specialization,replication_INTERLEAVED_routing_specialization,pilot_INTERLEAVED_S_causal_renormalized,replication_INTERLEAVED_S_causal_renormalized,pilot_INTERLEAVED_S_causal_non_renormalized,replication_INTERLEAVED_S_causal_non_renormalized,pilot_BLOCKED_AB_accuracy_A,replication_BLOCKED_AB_accuracy_A,pilot_BLOCKED_AB_accuracy_B,replication_BLOCKED_AB_accuracy_B,pilot_BLOCKED_AB_routing_specialization,replication_BLOCKED_AB_routing_specialization,pilot_BLOCKED_AB_S_causal_renormalized,replication_BLOCKED_AB_S_causal_renormalized,pilot_BLOCKED_AB_S_causal_non_renormalized,replication_BLOCKED_AB_S_causal_non_renormalized,pilot_BLOCKED_BA_accuracy_A,replication_BLOCKED_BA_accuracy_A,pilot_BLOCKED_BA_accuracy_B,replication_BLOCKED_BA_accuracy_B,pilot_BLOCKED_BA_routing_specialization,replication_BLOCKED_BA_routing_specialization,pilot_BLOCKED_BA_S_causal_renormalized,replication_BLOCKED_BA_S_causal_renormalized,pilot_BLOCKED_BA_S_causal_non_renormalized,replication_BLOCKED_BA_S_causal_non_renormalized
10,110,-0.04509499669075012,0.070685014128685,-0.04509499669075012,0.070685014128685,-0.09555502235889435,0.06418001651763916,0.9889000058174133,0.9875800013542175,0.9868999719619751,0.9880800247192383,0.6221521496772766,0.591975212097168,0.3105199933052063,0.26513999700546265,0.30619001388549805,0.2659199833869934,0.9896600246429443,0.9884799718856812,0.9888799786567688,0.9878000020980835,0.7671273946762085,0.4849393367767334,0.473609983921051,0.27320000529289246,0.371069997549057,0.2748100161552429,0.988099992275238,0.9886599779129028,0.988319993019104,0.9889600276947021,0.13527964055538177,0.7134393453598022,0.05724000930786133,0.39845001697540283,0.05019998550415039,0.3853899836540222
11,111,0.43010997772216797,0.01931498944759369,0.43010997772216797,0.01931498944759369,0.3211500346660614,0.00950002670288086,0.9880200028419495,0.9889199733734131,0.9881799817085266,0.9893800020217896,0.07719121873378754,0.8297727704048157,0.039110004901885986,0.4766499996185303,0.04312998056411743,0.34554997086524963,0.9891999959945679,0.9894400238990784,0.9886999726295471,0.9887999892234802,0.6703994274139404,0.8509899377822876,0.43573999404907227,0.4996500015258789,0.37890002131462097,0.3416299819946289,0.988319993019104,0.9893400073051453,0.9894599914550781,0.9891999959945679,0.818407416343689,0.7875024080276489,0.5026999711990356,0.492279976606369,0.3496600091457367,0.3684700131416321
12,112,0.3812749683856964,0.17424502968788147,0.3812749683856964,0.17424502968788147,0.2821200042963028,0.0676649808883667,0.9886800050735474,0.9890199899673462,0.9886400103569031,0.9872199892997742,0.20258523523807526,0.45505332946777344,0.09245002269744873,0.31926000118255615,0.09656000137329102,0.29221001267433167,0.9893800020217896,0.9894800186157227,0.9891200065612793,0.9884600043296814,0.789268434047699,0.7971550822257996,0.4649699926376343,0.4855700135231018,0.39131999015808105,0.3625899851322174,0.989300012588501,0.9895600080490112,0.9894199967384338,0.9898399710655212,0.8453531265258789,0.817435622215271,0.482479989528656,0.5014400482177734,0.36604002118110657,0.3571600019931793
13,113,0.28694501519203186,0.005959987640380859,0.28694501519203186,0.005959987640380859,0.24910497665405273,-0.044615015387535095,0.9886199831962585,0.9871000051498413,0.987779974937439,0.9870200157165527,0.30410969257354736,0.6078963875770569,0.12231998145580292,0.28161001205444336,0.12490001320838928,0.2807199954986572,0.9887999892234802,0.9891600012779236,0.9879000186920166,0.987820029258728,0.7325209379196167,0.07174666225910187,0.4450100064277649,0.1029299795627594,0.3961999714374542,0.09403994679450989,0.9874600172042847,0.9882799983024597,0.9892799854278564,0.9885600209236145,0.5100442171096802,0.7752529382705688,0.37351998686790466,0.47221001982688904,0.3518100082874298,0.3781700134277344
14,114,-0.026329994201660156,0.17806996405124664,-0.026329994201660156,0.17806996405124664,-0.06679998338222504,0.07864505052566528,0.9883999824523926,0.9876400232315063,0.9880399703979492,0.9874600172042847,0.7063591480255127,0.5930778980255127,0.35850998759269714,0.2871500253677368,0.3500499725341797,0.287259966135025,0.9887199997901917,0.9883999824523926,0.9876000285148621,0.9878600239753723,0.3714013695716858,0.8288261890411377,0.20550000667572021,0.4685699939727783,0.18828999996185303,0.3753700256347656,0.9886000156402588,0.9888200163841248,0.9894999861717224,0.9891200065612793,0.7821956276893616,0.7811846137046814,0.45885998010635376,0.4618699848651886,0.3782099783420563,0.356440007686615
15,115,0.2622649818658829,0.12003499269485474,0.2622649818658829,0.12003499269485474,0.17756500840187073,0.024154990911483765,0.9876599907875061,0.9884399771690369,0.9879800081253052,0.9878399968147278,0.38211530447006226,0.6203874945640564,0.19291001558303833,0.3516699969768524,0.18314000964164734,0.3423199951648712,0.9895200133323669,0.9899600148200989,0.9886400103569031,0.9882000088691711,0.7565637826919556,0.8022083044052124,0.48027998208999634,0.4884200096130371,0.37099000811576843,0.3675699830055237,0.9871799945831299,0.989139974117279,0.9887800216674805,0.9883800148963928,0.7017999887466431,0.7273900508880615,0.43007001280784607,0.4549899697303772,0.3504200279712677,0.3653799891471863
16,116,0.2291400134563446,0.17376500368118286,0.2291400134563446,0.17376500368118286,0.21775999665260315,0.08836495876312256,0.9880599975585938,0.987339973449707,0.9882799983024597,0.9874600172042847,0.06273236870765686,0.5330519676208496,0.06759998202323914,0.280460000038147,0.06564000248908997,0.2755200266838074,0.9890000224113464,0.9879400134086609,0.9879800081253052,0.9877200126647949,0.6616852283477783,0.6997784972190857,0.4154300093650818,0.42079001665115356,0.379800021648407,0.384909987449646,0.9880399703979492,0.9884399771690369,0.9882599711418152,0.9891200065612793,0.219156876206398,0.8035637140274048,0.1780499815940857,0.4876599907875061,0.18699997663497925,0.34285998344421387
17,117,-0.08482001721858978,0.057104967534542084,-0.08482001721858978,0.057104967534542084,-0.10846005380153656,0.01879999041557312,0.9883599877357483,0.9868800044059753,0.9872000217437744,0.989139974117279,0.6297143697738647,0.5854393243789673,0.3803099989891052,0.2961200177669525,0.3557300269603729,0.2905200123786926,0.9887800216674805,0.9878600239753723,0.9876999855041504,0.98853999376297,0.8036068677902222,0.39524543285369873,0.4787200093269348,0.23184998333454132,0.3813300132751465,0.2281300127506256,0.9876800179481506,0.9889400005340576,0.9868599772453308,0.9897199869155884,0.06662879884243011,0.7374489307403564,0.11225995421409607,0.4745999872684479,0.11320993304252625,0.3905099928379059
18,118,0.23787997663021088,0.17210501432418823,0.23787997663021088,0.17210501432418823,0.18964001536369324,0.059890016913414,0.9879599809646606,0.989080011844635,0.9886599779129028,0.9871600270271301,0.1679764688014984,0.618577241897583,0.10324999690055847,0.3098900020122528,0.09539997577667236,0.3090599775314331,0.9889199733734131,0.9900400042533875,0.98853999376297,0.9889000058174133,0.7613785266876221,0.7715011835098267,0.47126999497413635,0.46533000469207764,0.37880998849868774,0.3769899904727936,0.9869599938392639,0.9886000156402588,0.9884399771690369,0.9902799725532532,0.1333049088716507,0.8170363903045654,0.21098995208740234,0.49866002798080444,0.19126999378204346,0.36090999841690063
19,119,0.12469501793384552,0.29379501938819885,0.12469501793384552,0.29379501938819885,0.02444000542163849,0.2123900055885315,0.9875800013542175,0.9884399771690369,0.9861000180244446,0.9884999990463257,0.7323000431060791,0.3429866433143616,0.35728999972343445,0.16109000146389008,0.3554399907588959,0.16086998581886292,0.9888799786567688,0.9893800020217896,0.9876999855041504,0.9874399900436401,0.7676074504852295,0.6944174766540527,0.48431000113487244,0.416130006313324,0.3623200058937073,0.3796899914741516,0.9882400035858154,0.9885200262069702,0.9887599945068359,0.9900000095367432,0.8319486379623413,0.8094778060913086,0.4796600341796875,0.4936400353908539,0.39743998646736145,0.3668299913406372
